"title","url","image","creator","creator_url","source_url","last_updated","comments","views","favourites","broad category","category","subcategory","released","last_mod_update"
"*11/5/21 update* The Sims 4 IKEA Home Stuff (Reward Items)","https://modthesims.info//d/624194/11-5-21-update-the-sims-4-ikea-home-stuff-reward-items.html","https://thumbs2.modthesims2.com/img/7/3/7/5/8/2/8/1827713.largethumb.jpg?cb=1551051010","simsi45","https://modthesims.info//m/7375828","https://modthesims.info/downloads/ts4/38/page/1/?showType=1&t=picked&csort=0","2022-01-16",42,128100,557,"By Room","Living","","25th Feb 2019","11th May 2021"
"Mulholland","https://modthesims.info//d/630819/mulholland.html","https://thumbs2.modthesims2.com/img/9/9/8/1/6/1/9/1862544.largethumb.jpg?cb=1564415502","moleskine","https://modthesims.info//m/9981619","https://modthesims.info/downloads/ts4/38/page/1/?showType=1&t=picked&csort=0","2022-01-16",11,23200,44,"Lots & Housing","Residential","","29th Jul 2019",""
"Fachwerk cottage (No CC)","https://modthesims.info//d/632992/fachwerk-cottage-no-cc.html","https://thumbs2.modthesims2.com/img/1/0/1/4/0/3/1/4/1874213.largethumb.jpg?cb=1568987559","Augustas","https://modthesims.info//m/10140314","https://modthesims.info/downloads/ts4/38/page/1/?showType=1&t=picked&csort=0","2022-01-16",5,16800,24,"Lots & Housing","Residential","","20th Sep 2019",""
"Ackendorf Estate - No Custom Content","https://modthesims.info//d/632768/ackendorf-estate-no-custom-content.html","https://thumbs2.modthesims2.com/img/1/5/5/3/3/0/1873116.largethumb.jpg?cb=1568420554","Christine11778","https://modthesims.info//m/155330","https://modthesims.info/downloads/ts4/38/page/1/?showType=1&t=picked&csort=0","2022-01-16",10,24900,72,"Lots & Housing","Residential","","14th Sep 2019",""
"Thelonius","https://modthesims.info//d/632076/thelonius.html","https://thumbs2.modthesims2.com/img/9/9/8/1/6/1/9/1869112.largethumb.jpg?cb=1566836434","moleskine","https://modthesims.info//m/9981619","https://modthesims.info/downloads/ts4/38/page/1/?showType=1&t=picked&csort=0","2022-01-16",10,16400,50,"Lots & Housing","Residential","","26th Aug 2019",""
"Functional solar panels and water heater (Discontinued)","https://modthesims.info//d/631669/functional-solar-panels-and-water-heater-discontinued.html","https://thumbs2.modthesims2.com/img/1/0/0/9/2/1/8/4/1867045.largethumb.jpg?cb=1566218885","Sigma1202","https://modthesims.info//m/10092184","https://modthesims.info/downloads/ts4/38/page/2/?showType=1&t=picked&csort=0","2022-01-16",193,80600,487,"Game Mods","Script & Core Mods","Scripted Objects","19th Aug 2019","5th Jun 2020"
"Archways","https://modthesims.info//d/631426/archways.html","https://thumbs2.modthesims2.com/img/3/7/4/9/6/1/9/1865947.largethumb.jpg?cb=1565548860","AdonisPluto","https://modthesims.info//m/3749619","https://modthesims.info/downloads/ts4/38/page/2/?showType=1&t=picked&csort=0","2022-01-16",27,27700,133,"Build Mode","Doors & Windows","","11th Aug 2019","17th Jan 2021"
"Modernica - Modern house with covered pool - NO CC","https://modthesims.info//d/627759/modernica-modern-house-with-covered-pool-no-cc.html","https://thumbs2.modthesims2.com/img/9/4/8/3/8/1846696.largethumb.jpg?cb=1558699140","bradybrad7","https://modthesims.info//m/94838","https://modthesims.info/downloads/ts4/38/page/2/?showType=1&t=picked&csort=0","2022-01-16",11,39400,84,"Lots & Housing","Residential","","24th May 2019",""
"Part-time Writer Career [+new branches]","https://modthesims.info//d/627809/part-time-writer-career-new-branches.html","https://thumbs2.modthesims2.com/img/1/0/1/3/8/3/4/2/1847043.largethumb.jpg?cb=1558708810","Arialyx","https://modthesims.info//m/10138342","https://modthesims.info/downloads/ts4/38/page/2/?showType=1&t=picked&csort=0","2022-01-16",15,43800,188,"Careers","EP compatible","","24th May 2019",""
"H&B AquaVortex - Dishwasher","https://modthesims.info//d/624859/h-amp-b-aquavortex-dishwasher.html","https://thumbs2.modthesims2.com/img/8/9/4/8/6/8/5/1831120.largethumb.jpg?cb=1552357104","littledica","https://modthesims.info//m/8948685","https://modthesims.info/downloads/ts4/38/page/2/?showType=1&t=picked&csort=0","2022-01-16",31,76100,276,"Appliances","","","12th Mar 2019","12th Mar 2019"
